51
33
32
32
6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	9	10	11	6	7	8	6	7	8	6	7	8	6	7	8
18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	21	22	23	18	19	20	18	19	20	18	19	20	18	19	20
30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	33	34	35	30	31	32	30	31	32	30	31	32	30	31	32
6	7	8	9	10	11	6	7	8	6	7	8	0	1	2	6	7	8	6	7	8	6	7	8	3	4	5	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	3	4	5	6	7	8	6	7	8
18	19	20	21	22	23	18	19	20	18	19	20	12	13	14	18	19	20	18	19	20	18	19	20	15	16	17	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	15	16	17	18	19	20	18	19	20
30	31	32	33	34	35	30	31	32	30	31	32	24	25	26	30	31	32	30	31	32	30	31	32	27	28	29	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	27	28	29	30	31	32	30	31	32
6	7	8	6	7	8	3	4	5	6	7	8	6	7	8	6	7	8	9	10	11	6	7	8	6	7	8	6	7	8	0	1	2	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8
18	19	20	18	19	20	15	16	17	18	19	20	18	19	20	18	19	20	21	22	23	18	19	20	18	19	20	18	19	20	12	13	14	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20
30	31	32	30	31	32	27	28	29	30	31	32	30	31	32	30	31	32	33	34	35	30	31	32	30	31	32	30	31	32	24	25	26	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32
6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	3	4	5	6	7	8	6	7	8	0	1	2	6	7	8	6	7	8
18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	15	16	17	18	19	20	18	19	20	12	13	14	18	19	20	18	19	20
30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	27	28	29	30	31	32	30	31	32	24	25	26	30	31	32	30	31	32
6	7	8	6	7	8	0	1	2	6	7	8	6	7	8	3	4	5	6	7	8	6	7	8	0	1	2	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8
18	19	20	18	19	20	12	13	14	18	19	20	18	19	20	15	16	17	18	19	20	18	19	20	12	13	14	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20
30	31	32	30	31	32	24	25	26	30	31	32	30	31	32	27	28	29	30	31	32	30	31	32	24	25	26	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32
6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	3	4	5	6	7	8	6	7	8	6	7	8	9	10	11	6	7	8	6	7	8	6	7	8
18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	15	16	17	18	19	20	18	19	20	18	19	20	21	22	23	18	19	20	18	19	20	18	19	20
30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	27	28	29	30	31	32	30	31	32	30	31	32	33	34	35	30	31	32	30	31	32	30	31	32
6	7	8	6	7	8	6	7	8	3	4	5	6	7	8	6	7	8	6	7	8	9	10	11	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	3	4	5	6	7	8
18	19	20	18	19	20	18	19	20	15	16	17	18	19	20	18	19	20	18	19	20	21	22	23	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	15	16	17	18	19	20
30	31	32	30	31	32	30	31	32	27	28	29	30	31	32	30	31	32	30	31	32	33	34	35	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	27	28	29	30	31	32
6	7	8	9	10	11	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8	0	1	2	6	7	8	6	7	8	6	7	8	6	7	8	6	7	8
18	19	20	21	22	23	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20	12	13	14	18	19	20	18	19	20	18	19	20	18	19	20	18	19	20
