51
33
32
32
3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5
12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14
21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23
3	4	5	3	4	5	3	4	5	3	4	5	0	1	2	3	4	5	0	1	2	6	7	8	3	4	5	3	4	5	0	1	2	3	4	5	0	1	2	6	7	8	3	4	5	3	4	5	3	4	5
12	13	14	12	13	14	12	13	14	12	13	14	9	10	11	12	13	14	9	10	11	15	16	17	12	13	14	12	13	14	9	10	11	12	13	14	9	10	11	15	16	17	12	13	14	12	13	14	12	13	14
21	22	23	21	22	23	21	22	23	21	22	23	18	19	20	21	22	23	18	19	20	24	25	26	21	22	23	21	22	23	18	19	20	21	22	23	18	19	20	24	25	26	21	22	23	21	22	23	21	22	23
3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	3	4	5	3	4	5	3	4	5	0	1	2	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5
12	13	14	15	16	17	9	10	11	12	13	14	15	16	17	12	13	14	12	13	14	12	13	14	9	10	11	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14
21	22	23	24	25	26	18	19	20	21	22	23	24	25	26	21	22	23	21	22	23	21	22	23	18	19	20	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23
3	4	5	3	4	5	6	7	8	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	3	4	5	6	7	8	3	4	5	6	7	8	0	1	2	3	4	5	3	4	5	3	4	5
12	13	14	12	13	14	15	16	17	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	12	13	14	15	16	17	12	13	14	15	16	17	9	10	11	12	13	14	12	13	14	12	13	14
21	22	23	21	22	23	24	25	26	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	21	22	23	24	25	26	21	22	23	24	25	26	18	19	20	21	22	23	21	22	23	21	22	23
